Review_ID,Rating,Reviewer_Location,Review_Text,Branch,year,month,Reviewer_Global_Region,overall_sentiment,sentiment_confidence,attractions_sentiment,food_sentiment,hotels_sentiment,staff_sentiment,price_sentiment,crowd_sentiment,cleanliness_sentiment,accessibility_sentiment,visitor_type,visitor_origin,has_children,visit_frequency,special_occasion,trip_duration,season,day_type,mentions_tickets,mentions_fast_passes,mentions_souvenirs,mentions_food_purchases,mentions_hotel_booking,mentions_parking,time_spent,popular_attractions,repeat_visits,recommendation_intent,main_complaint,journey_stage,pain_severity,review_length,language_quality,analysis_successful
620772597,4,France,Very hood park. Nothing to signal. It was a good moment of fun. Greetings for france. I recommand this park,Disneyland_HongKong,2018,unknown,Europe,positive,0.85,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,unknown,international,,unknown,none,unknown,unknown,unknown,False,False,False,False,False,False,unknown,,False,yes,not_mentioned,unknown,unknown,short,fair,True
600832139,3,France,"Went to visit this HK Disneyland.  Very small park compared with Eurodisney, parked was packed (we went on a tuesday) and as any disneyland, had to queue up for 45mins average for playing.  There were no  pirates of the caribean  nor  peter pan  attraction.",Disneyland_HongKong,2018,unknown,Europe,negative,0.85,negative,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,not_mentioned,not_mentioned,unknown,unknown,False,first_time,none,unknown,unknown,weekday,False,False,False,False,False,True,unknown,,False,no,small park size and long waiting times,during_visit,major,short,fair,True
599423763,5,France,This Disneyland is not as big as the one in Paris but really lovely and convenient with the MTR. From Hong Kong station the fastest way will be to take Tung Chung Line then at sunny bay station change for the Disneyland line ( a really beautiful tram ),Disneyland_HongKong,2018,unknown,Europe,positive,0.85,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,unknown,local,False,unknown,none,unknown,unknown,unknown,False,False,False,False,False,False,unknown,,False,unknown,not_mentioned,not_mentioned,unknown,short,good,True
565633635,5,France,One of the popular tourists spot in Hong Kong. Kids will enjoy everything even if it is tiring to walk in this place. A lot of things to see    ,Disneyland_HongKong,2017,unknown,Europe,positive,0.85,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,families,local,True,unknown,none,unknown,unknown,unknown,False,False,False,False,False,False,unknown,,False,unknown,tiring to walk,during_visit,minor,short,good,True
549917482,5,France,If you   re in love with Disney then it   s a must go. It   s small but there are the mine gulch and the mansion. Both are very good. Ironman the ride is not worth the wait so if you want to do it take a fast pass.,Disneyland_HongKong,2017,unknown,Europe,positive,0.85,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,not_mentioned,not_mentioned,unknown,unknown,,unknown,none,unknown,unknown,unknown,False,True,False,False,False,False,unknown,mine gulch;the mansion;Ironman the ride,False,yes,Ironman the ride is not worth the wait,during_visit,moderate,medium,good,True
495009669,3,France,"Having already arrived without any expectation, we were even more disappointed by the quality of their best rides. All of us were over 20 yo so we had targeted rides with height warnings such as Iron Man Experience, Grizzly Gulch, Speed Racer, and Hyperspace Mountain etc. Iron Man was the most disappointing of them all, as the '4DX' movie was too short, had an unimaginative storyline and was by far the worst disney ride. Hyperspace Mountain had been bought by Star Wars and its opening tune as we rode into pitch black was exciting and familiar. The ride was probably the best one and we went on it 3 times, but the lighting wasnt perhaps too bright and we could see some of the roller coaster's structure, which sort of ruined the  space illusion , unlike the one in Paris. Grizzly Gulch, an outdoor coaster, was also graced by our bums 3 times as well. To be fair, there was nothing wrong with the ride (it even had a surprise factor) however we were used to the likes of alton towers and our experienced and wise selves craved a higher thrill factor. Brownie points: great dim sum restaurant (presented by Maxim's) at number 7 on the map. The churros sold at stores dotted around the park were also spot on and brought back childhood memories.",Disneyland_HongKong,2017,unknown,Europe,negative,0.85,negative,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,group,unknown,False,unknown,none,unknown,unknown,unknown,False,False,False,True,False,False,unknown,Iron Man Experience;Grizzly Gulch;Speed Racer;Hyperspace Mountain,False,no,"Disappointment with the quality of rides, particularly Iron Man Experience",during_visit,major,long,good,True
470748591,5,France,"Well yeah if you love Disneyland, then this is for you!To be honest, my expectation was little in this but it was my 4th Disneyland and I can say this one is competing with others well. The theme park was laid out in typical Disney's style with 5 6 separate zone. The rides were good both for kids and adult like, mixed Chinese and English languages inside though. Really like the Grizzly ride here, did it twice and would do more next time.",Disneyland_HongKong,2017,unknown,Europe,positive,0.85,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,unknown,unknown,True,returning,none,unknown,unknown,unknown,True,False,False,False,False,False,unknown,Grizzly ride,True,yes,none,unknown,unknown,medium,good,True
464590351,3,France,Went there as it's my girl's birthday. Nothing exciting as has been here many times. Staff at the ticket booth not friendly n feel agitated when dealing with customers unlike the first time when we visit when they were newly opened. Now there is express ticket counter where we can get n need not wait for long g time however we did not try this as park was not crowded. Lion King show is fantastic. They have only one new ride.,Disneyland_HongKong,2017,unknown,Europe,negative,0.75,neutral,not_mentioned,not_mentioned,negative,not_mentioned,positive,not_mentioned,not_mentioned,families,unknown,True,returning,birthday,unknown,unknown,unknown,True,True,False,False,False,False,unknown,Lion King show,True,no,Staff at the ticket booth not friendly and agitated,entry,moderate,medium,fair,True
343921588,5,France,We had a great time there with our daughter. Good attractions and live shows. This park is not very huge so you can go everywhere in one day.,Disneyland_HongKong,2015,unknown,Europe,positive,0.95,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,families,unknown,True,first_time,none,day_trip,unknown,unknown,True,False,False,False,False,False,full_day,attractions;live shows,False,yes,not_mentioned,unknown,unknown,short,good,True
337549488,5,France,"We went to disney land hong kong in December 22nd .. It opens at 10:30. Despite we arrived early (10:15am) we found hundred of people taking the queues.. I finally got my tickets after 45mn... Inside the resort, sooooo many people was there as it was holidays.. We had to wait a minimum of 40 45mn for each attraction even to get a photo with minnie and companies...this make us upset...I think, it is much better to visit the place out of holidays period to really enjoy everything",Disneyland_HongKong,2015,december,Europe,negative,0.85,negative,not_mentioned,not_mentioned,not_mentioned,not_mentioned,negative,not_mentioned,not_mentioned,families,unknown,,first_time,holiday,unknown,winter,holiday,True,False,False,False,False,False,unknown,Minnie,False,no,long waiting times for attractions,during_visit,major,medium,fair,True
